employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor,user,pc
Calvin Edan Love,CEL0561,Calvin.Edan.Love@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,CEL0561,PC-8462
Christine Reagan Deleon,CRD0624,Christine.Reagan.Deleon@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,CRD0624,PC-0441
Jade Felicia Caldwell,JFC0557,Jade.Felicia.Caldwell@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,JFC0557,PC-9179
Aquila Stewart Dejesus,ASD0577,Aquila.Stewart.Dejesus@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,ASD0577,PC-6601
Micah Abdul Rojas,MAR0955,Micah.Abdul.Rojas@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,MAR0955,PC-6793
Gail Rhiannon Mcconnell,GRM0868,Gail.Rhiannon.Mcconnell@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,GRM0868,PC-8443
April Alika Levy,AAL0706,April.Alika.Levy@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,AAL0706,PC-5282
Rama Vielka Clayton,RVC0232,Rama.Vielka.Clayton@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,RVC0232,PC-4469
Tasha Casey Dalton,TCD0009,Tasha.Casey.Dalton@dtaa.com,AdministrativeAssistant,1,1 - Adminstration,,,Halla Cathleen Simmons,TCD0009,PC-6263
Aurora Sarah Manning,ASM0575,Aurora.Sarah.Manning@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,ASM0575,PC-1165
Devin Abdul Rogers,DAR0885,Devin.Abdul.Rogers@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,DAR0885,PC-1279
Jacqueline Latifah Miles,JLM0364,Jacqueline.Latifah.Miles@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,JLM0364,PC-0004
Ferris Omar Barry,FOB0756,Ferris.Omar.Barry@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,FOB0756,PC-4124
Grant Camden Gay,GCG0951,Grant.Camden.Gay@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,GCG0951,PC-4124
Howard Wing Yang,HWY0038,Howard.Wing.Yang@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,HWY0038,PC-0008
Aspen Amber Vinson,AAV0450,Aspen.Amber.Vinson@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,AAV0450,PC-6419
Colorado John Valentine,CJV0286,Colorado.John.Valentine@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,CJV0286,PC-6566
Tyrone Damian Garner,TDG0962,Tyrone.Damian.Garner@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,TDG0962,PC-2173
Stephanie Victoria Lyons,SVL0803,Stephanie.Victoria.Lyons@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,SVL0803,PC-6020
Quynn Odessa Sanford,QOS0878,Quynn.Odessa.Sanford@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,QOS0878,PC-1593
Melyssa Deirdre Morgan,MDM0625,Melyssa.Deirdre.Morgan@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,MDM0625,PC-4124
Gray Mason Fulton,GMF0738,Gray.Mason.Fulton@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,GMF0738,PC-4204
Bianca Elizabeth Roach,BER0314,Bianca.Elizabeth.Roach@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,BER0314,PC-8556
Aurelia Martina Reese,AMR0400,Aurelia.Martina.Reese@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,AMR0400,PC-2266
Yardley Cairo Elliott,YCE0983,Yardley.Cairo.Elliott@dtaa.com,ManagementTrainer,1,1 - Adminstration,3 - Training,,Walter Kaseem Foley,YCE0983,PC-3764
Blaine Jelani Weeks,BJW0619,Blaine.Jelani.Weeks@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,BJW0619,PC-9653
Delilah Pearl Schneider,DPS0262,Delilah.Pearl.Schneider@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,DPS0262,PC-8916
TaShya Yoko Bailey,TYB0779,TaShya.Yoko.Bailey@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,TYB0779,PC-5258
Melissa Ava Stuart,MAS0025,Melissa.Ava.Stuart@dtaa.com,InstructionalCoordinator,1,1 - Adminstration,3 - Training,,Walter Kaseem Foley,MAS0025,PC-2512
Kermit Beau Leach,KBL0260,Kermit.Beau.Leach@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,KBL0260,PC-9706
Geoffrey Harlan Lara,GHL0460,Geoffrey.Harlan.Lara@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,GHL0460,PC-6255
